Year,Week,F1_Score,Period
2011,38,1.0,2011-W38
2013,16,1.0,2013-W16
2013,49,1.0,2013-W49
2015,40,1.0,2015-W40
2015,45,1.0,2015-W45
2015,46,1.0,2015-W46
2015,51,1.0,2015-W51
2016,14,1.0,2016-W14
2016,15,1.0,2016-W15
2016,19,1.0,2016-W19
2016,24,0.0,2016-W24
2016,34,1.0,2016-W34
2016,47,1.0,2016-W47
2016,49,1.0,2016-W49
2016,51,1.0,2016-W51
2017,2,0.0,2017-W02
2017,4,0.0,2017-W04
2017,15,0.0,2017-W15
2017,29,1.0,2017-W29
2017,33,1.0,2017-W33
2017,36,1.0,2017-W36
2017,42,1.0,2017-W42
2017,44,1.0,2017-W44
2017,46,1.0,2017-W46
2017,49,1.0,2017-W49
2017,52,1.0,2017-W52
2018,11,0.0,2018-W11
2018,15,1.0,2018-W15
2018,19,0.0,2018-W19
2018,23,1.0,2018-W23
2018,27,1.0,2018-W27
2018,33,1.0,2018-W33
2018,37,1.0,2018-W37
2018,38,1.0,2018-W38
2018,48,0.0,2018-W48
2018,50,0.0,2018-W50
2019,14,1.0,2019-W14
2019,17,1.0,2019-W17
2019,39,1.0,2019-W39
2019,41,1.0,2019-W41
2019,43,1.0,2019-W43
2019,50,1.0,2019-W50
2019,52,0.0,2019-W52
2020,1,0.3333333333333333,2020-W01
2020,2,1.0,2020-W02
2020,8,1.0,2020-W08
2020,16,0.0,2020-W16
2020,30,1.0,2020-W30
2020,34,1.0,2020-W34
2020,35,1.0,2020-W35
2020,46,1.0,2020-W46
2021,2,1.0,2021-W02
2021,8,1.0,2021-W08
2021,10,1.0,2021-W10
2021,11,1.0,2021-W11
2021,15,1.0,2021-W15
2021,18,1.0,2021-W18
2021,24,1.0,2021-W24
2021,32,0.0,2021-W32
2021,38,1.0,2021-W38
2021,39,0.0,2021-W39
2021,48,1.0,2021-W48
2021,49,1.0,2021-W49
2022,1,0.0,2022-W01
2022,13,1.0,2022-W13
2022,16,1.0,2022-W16
2022,18,1.0,2022-W18
2022,27,1.0,2022-W27
2022,28,1.0,2022-W28
2022,39,1.0,2022-W39
2022,43,1.0,2022-W43
2022,46,1.0,2022-W46
2022,48,1.0,2022-W48
2023,2,1.0,2023-W02
2023,3,0.25,2023-W03
2023,4,1.0,2023-W04
2023,5,1.0,2023-W05
2023,6,0.0,2023-W06
2023,7,1.0,2023-W07
2023,8,0.3333333333333333,2023-W08
2023,9,0.4,2023-W09
2023,10,1.0,2023-W10
2023,13,1.0,2023-W13
2023,21,0.42857142857142855,2023-W21
2023,22,0.4,2023-W22
2023,23,1.0,2023-W23
2023,24,1.0,2023-W24
2023,26,1.0,2023-W26
2023,27,1.0,2023-W27
2023,28,0.3333333333333333,2023-W28
2023,29,1.0,2023-W29
2023,31,1.0,2023-W31
2023,32,1.0,2023-W32
2023,33,0.3333333333333333,2023-W33
2023,34,1.0,2023-W34
2023,35,1.0,2023-W35
2023,36,0.3333333333333333,2023-W36
2023,37,0.0,2023-W37
2023,38,0.0,2023-W38
2023,39,0.0,2023-W39
2023,40,0.0,2023-W40
2023,41,0.3333333333333333,2023-W41
2023,42,1.0,2023-W42
